x,y
40.000,40.000
60.000,40.000
80.000,40.000
100.000,40.000
120.000,60.000
120.000,80.000
120.000,100.000
140.000,120.000
140.000,140.000
140.000,160.000
140.000,180.000
140.000,200.000
140.000,220.000
140.000,240.000
140.000,260.000
140.000,280.000
140.000,300.000
140.000,320.000
140.000,340.000
160.000,360.000
180.000,380.000
200.000,400.000
220.000,420.000
240.000,440.000
260.000,440.000
280.000,440.000
300.000,440.000
320.000,440.000
340.000,440.000
360.000,460.000
360.000,480.000
360.000,500.000
360.000,520.000
360.000,540.000
360.000,560.000
360.000,580.000
380.000,600.000
400.000,620.000
420.000,640.000
440.000,640.000
460.000,640.000
480.000,640.000
500.000,640.000
520.000,660.000
520.000,680.000
520.000,700.000
520.000,720.000
540.000,740.000
560.000,760.000
580.000,780.000
600.000,800.000
620.000,820.000
640.000,840.000
660.000,840.000
680.000,840.000
700.000,840.000
720.000,860.000
740.000,880.000
760.000,900.000
760.000,920.000
780.000,940.000
800.000,960.000
820.000,980.000
840.000,980.000
860.000,980.000
880.000,980.000
900.000,980.000
920.000,980.000
940.000,980.000
960.000,1000.000
960.000,1020.000
960.000,1040.000
960.000,1060.000
960.000,1080.000
960.000,1100.000
960.000,1120.000
960.000,1140.000
960.000,1160.000
960.000,1180.000
960.000,1200.000
960.000,1220.000
960.000,1240.000
960.000,1260.000
960.000,1280.000
960.000,1300.000
960.000,1320.000
960.000,1340.000
960.000,1360.000
960.000,1380.000
960.000,1400.000
960.000,1420.000
960.000,1440.000
960.000,1460.000
960.000,1480.000
960.000,1500.000
960.000,1520.000
960.000,1540.000
960.000,1560.000
960.000,1580.000
960.000,1600.000
960.000,1620.000
960.000,1640.000
960.000,1660.000
960.000,1680.000
960.000,1700.000
960.000,1720.000
960.000,1740.000
960.000,1760.000
960.000,1780.000
960.000,1800.000
960.000,1820.000
960.000,1840.000
960.000,1860.000
960.000,1880.000
960.000,1900.000
960.000,1920.000
960.000,1940.000
960.000,1960.000
980.000,1980.000
