time,x,y,vx,vy
26.000,575.000,65.839,8.043,0.000
27.959,575.219,64.736,6.530,0.030
29.884,575.392,63.645,5.032,0.060
31.777,575.521,62.564,3.549,0.090
33.638,575.605,61.493,2.079,0.120
35.467,575.646,60.434,0.624,0.150
37.264,575.643,59.385,-0.816,0.180
39.030,575.597,58.347,-2.242,0.210
40.765,575.508,57.320,-3.654,0.240
42.470,575.378,56.303,-5.052,0.270
44.144,575.205,55.297,-6.435,0.300
45.788,574.992,54.301,-7.804,0.330
47.402,574.737,53.316,-9.159,0.360
48.987,574.442,52.342,-10.499,0.390
50.542,574.107,51.379,-11.825,0.420
52.069,573.733,50.426,-13.137,0.450
53.568,573.319,49.483,-14.435,0.480
55.039,572.867,48.551,-15.718,0.510
56.481,572.376,47.630,-16.987,0.540
57.896,571.848,46.719,-18.242,0.570
59.284,571.282,45.819,-19.483,0.600
60.646,570.679,44.929,-20.709,0.630
61.980,570.040,44.050,-21.922,0.660
63.289,569.364,43.181,-23.120,0.690
64.571,568.652,42.323,-24.304,0.720
65.828,567.906,41.475,-25.474,0.750
67.060,567.124,40.638,-26.630,0.780
68.267,566.308,39.811,-27.772,0.810
69.449,565.458,38.995,-28.899,0.840
70.606,564.574,38.189,-30.013,0.870
71.740,563.657,37.394,-31.112,0.900
72.850,562.708,36.609,-32.198,0.930
73.937,561.726,35.834,-33.269,0.960
75.000,560.712,35.070,-34.326,0.990
76.041,559.666,34.316,-35.370,1.020
77.059,558.590,33.572,-36.399,1.050
78.056,557.482,32.839,-37.414,1.080
79.030,556.345,32.116,-38.415,1.110
79.983,555.178,31.404,-39.403,1.140
80.914,553.981,30.702,-40.376,1.170
81.825,552.755,30.010,-41.335,1.200
82.715,551.501,29.328,-42.280,1.230
83.585,550.219,28.657,-43.212,1.260
84.434,548.908,27.996,-44.129,1.290
85.264,547.571,27.345,-45.033,1.320
86.075,546.207,26.705,-45.922,1.350
86.867,544.816,26.074,-46.798,1.380
87.640,543.399,25.454,-47.660,1.410
88.394,541.956,24.845,-48.508,1.440
89.131,540.488,24.245,-49.342,1.470
89.849,538.996,23.656,-50.163,1.500
90.550,537.479,23.076,-50.969,1.530
91.234,535.938,22.507,-51.762,1.560
91.901,534.373,21.948,-52.541,1.590
92.551,532.786,21.400,-53.306,1.620
93.185,531.175,20.861,-54.057,1.650
93.802,529.542,20.333,-54.794,1.680
94.405,527.888,19.814,-55.518,1.710
94.991,526.211,19.306,-56.228,1.740
95.563,524.514,18.808,-56.924,1.770
96.120,522.796,18.320,-57.607,1.800
96.662,521.058,17.842,-58.275,1.830
97.191,519.300,17.374,-58.930,1.860
