x,y,vx,vy,time
39.000,562.000,0.000,0.000,0.000
39.001,562.000,0.143,0.013,0.010
39.003,562.000,0.287,0.027,0.020
39.006,562.001,0.429,0.040,0.030
39.011,562.001,0.572,0.053,0.040
39.018,562.002,0.714,0.066,0.050
39.026,562.002,0.855,0.078,0.060
39.035,562.003,0.997,0.091,0.070
39.046,562.004,1.138,0.103,0.080
39.058,562.005,1.279,0.115,0.090
39.071,562.007,1.419,0.127,0.100
39.086,562.008,1.559,0.139,0.110
39.102,562.009,1.699,0.151,0.120
39.120,562.011,1.838,0.163,0.130
39.139,562.013,1.977,0.174,0.140
39.160,562.014,2.116,0.185,0.150
39.181,562.016,2.254,0.196,0.160
39.205,562.018,2.392,0.207,0.170
39.229,562.020,2.530,0.218,0.180
39.255,562.023,2.667,0.228,0.190
39.283,562.025,2.804,0.239,0.200
39.311,562.027,2.941,0.249,0.210
39.342,562.030,3.078,0.259,0.220
39.373,562.033,3.214,0.269,0.230
39.406,562.035,3.349,0.279,0.240
39.440,562.038,3.485,0.289,0.250
39.475,562.041,3.620,0.298,0.260
39.512,562.044,3.754,0.307,0.270
39.551,562.047,3.889,0.317,0.280
39.590,562.050,4.023,0.326,0.290
39.631,562.054,4.157,0.334,0.300
39.673,562.057,4.290,0.343,0.310
39.717,562.061,4.423,0.352,0.320
39.762,562.064,4.556,0.360,0.330
39.808,562.068,4.688,0.368,0.340
39.855,562.072,4.820,0.376,0.350
39.904,562.075,4.952,0.384,0.360
39.955,562.079,5.083,0.392,0.370
40.006,562.083,5.214,0.400,0.380
40.059,562.087,5.345,0.407,0.390
40.113,562.091,5.475,0.414,0.400
40.168,562.096,5.605,0.422,0.410
40.225,562.100,5.735,0.429,0.420
40.283,562.104,5.865,0.435,0.430
40.342,562.108,5.994,0.442,0.440
40.403,562.113,6.122,0.449,0.450
40.465,562.117,6.251,0.455,0.460
40.528,562.122,6.379,0.461,0.470
40.592,562.127,6.507,0.467,0.480
40.658,562.131,6.634,0.473,0.490
40.725,562.136,6.761,0.479,0.500
40.793,562.141,6.888,0.485,0.510
40.863,562.146,7.014,0.490,0.520
40.934,562.151,7.141,0.495,0.530
41.006,562.156,7.266,0.501,0.540
41.079,562.161,7.392,0.506,0.550
41.153,562.166,7.517,0.510,0.560
41.229,562.171,7.642,0.515,0.570
41.306,562.176,7.766,0.520,0.580
41.385,562.181,7.890,0.524,0.590
41.464,562.187,8.014,0.528,0.600
41.545,562.192,8.138,0.532,0.610
41.627,562.197,8.261,0.536,0.620
41.710,562.203,8.384,0.540,0.630
41.794,562.208,8.506,0.544,0.640
41.880,562.214,8.628,0.547,0.650
41.967,562.219,8.750,0.551,0.660
42.055,562.225,8.872,0.554,0.670
42.144,562.230,8.993,0.557,0.680
42.235,562.236,9.114,0.560,0.690
42.327,562.241,9.234,0.563,0.700
42.420,562.247,9.355,0.565,0.710
42.514,562.253,9.475,0.568,0.720
42.609,562.258,9.594,0.570,0.730
42.706,562.264,9.713,0.572,0.740
42.803,562.270,9.832,0.574,0.750
42.902,562.275,9.951,0.576,0.760
43.002,562.281,10.069,0.578,0.770
43.104,562.287,10.187,0.579,0.780
43.206,562.293,10.305,0.581,0.790
43.310,562.299,10.422,0.582,0.800
43.415,562.304,10.539,0.583,0.810
43.521,562.310,10.656,0.584,0.820
43.628,562.316,10.772,0.585,0.830
43.736,562.322,10.888,0.586,0.840
43.846,562.328,11.004,0.586,0.850
43.956,562.334,11.119,0.587,0.860
44.068,562.340,11.234,0.587,0.870
44.181,562.346,11.349,0.587,0.880
44.295,562.351,11.464,0.587,0.890
44.410,562.357,11.578,0.587,0.900
44.526,562.363,11.691,0.587,0.910
44.644,562.369,11.805,0.586,0.920
44.763,562.375,11.918,0.586,0.930
44.882,562.381,12.031,0.585,0.940
45.003,562.387,12.143,0.584,0.950
45.125,562.392,12.256,0.583,0.960
45.248,562.398,12.367,0.582,0.970
45.372,562.404,12.479,0.580,0.980
45.498,562.410,12.590,0.579,0.990
45.624,562.416,12.701,0.577,1.000
45.752,562.421,12.812,0.576,1.010
45.881,562.427,12.922,0.574,1.020
46.010,562.433,13.032,0.572,1.030
46.141,562.439,13.141,0.570,1.040
46.273,562.444,13.251,0.567,1.050
46.406,562.450,13.360,0.565,1.060
46.540,562.456,13.468,0.562,1.070
46.676,562.461,13.577,0.559,1.080
46.812,562.467,13.685,0.557,1.090
46.949,562.472,13.792,0.554,1.100
47.088,562.478,13.900,0.550,1.110
47.227,562.483,14.007,0.547,1.120
47.368,562.489,14.114,0.544,1.130
47.510,562.494,14.220,0.540,1.140
47.652,562.500,14.326,0.536,1.150
47.796,562.505,14.432,0.533,1.160
47.941,562.510,14.538,0.529,1.170
48.087,562.515,14.643,0.524,1.180
48.234,562.521,14.748,0.520,1.190
48.382,562.526,14.852,0.516,1.200
48.531,562.531,14.956,0.511,1.210
48.681,562.536,15.060,0.507,1.220
48.832,562.541,15.164,0.502,1.230
48.984,562.546,15.267,0.497,1.240
49.137,562.551,15.370,0.492,1.250
49.292,562.556,15.473,0.486,1.260
49.447,562.561,15.575,0.481,1.270
49.603,562.566,15.677,0.476,1.280
49.760,562.570,15.779,0.470,1.290
49.919,562.575,15.880,0.464,1.300
50.078,562.580,15.981,0.458,1.310
50.238,562.584,16.082,0.452,1.320
50.400,562.589,16.182,0.446,1.330
50.562,562.593,16.283,0.440,1.340
50.725,562.597,16.382,0.433,1.350
50.890,562.602,16.482,0.427,1.360
51.055,562.606,16.581,0.420,1.370
51.221,562.610,16.680,0.413,1.380
51.388,562.614,16.779,0.406,1.390
51.557,562.618,16.877,0.399,1.400
51.726,562.622,16.975,0.392,1.410
51.896,562.626,17.072,0.384,1.420
52.067,562.630,17.170,0.377,1.430
52.240,562.634,17.267,0.369,1.440
52.413,562.637,17.363,0.361,1.450
52.587,562.641,17.460,0.353,1.460
52.762,562.644,17.556,0.345,1.470
52.938,562.648,17.652,0.337,1.480
53.115,562.651,17.747,0.329,1.490
53.293,562.654,17.842,0.320,1.500
53.472,562.657,17.937,0.311,1.510
53.652,562.660,18.032,0.303,1.520
53.832,562.663,18.126,0.294,1.530
54.014,562.666,18.220,0.285,1.540
54.197,562.669,18.313,0.276,1.550
54.380,562.672,18.407,0.266,1.560
54.565,562.674,18.500,0.257,1.570
54.750,562.677,18.592,0.248,1.580
54.937,562.679,18.685,0.238,1.590
55.124,562.682,18.777,0.228,1.600
55.312,562.684,18.868,0.218,1.610
55.501,562.686,18.960,0.208,1.620
55.692,562.688,19.051,0.198,1.630
55.882,562.690,19.142,0.188,1.640
56.074,562.692,19.232,0.177,1.650
56.267,562.694,19.322,0.167,1.660
56.461,562.695,19.412,0.156,1.670
56.655,562.697,19.502,0.145,1.680
56.851,562.698,19.591,0.134,1.690
57.047,562.699,19.680,0.123,1.700
57.244,562.701,19.769,0.112,1.710
57.443,562.702,19.857,0.101,1.720
57.642,562.703,19.945,0.089,1.730
57.841,562.703,20.033,0.077,1.740
58.042,562.704,20.120,0.066,1.750
58.244,562.705,20.208,0.054,1.760
58.446,562.705,20.294,0.042,1.770
58.650,562.706,20.381,0.030,1.780
58.854,562.706,20.467,0.018,1.790
59.059,562.706,20.553,0.005,1.800
59.265,562.706,20.639,-0.007,1.810
59.472,562.706,20.724,-0.020,1.820
59.680,562.706,20.809,-0.033,1.830
59.888,562.705,20.894,-0.045,1.840
60.097,562.705,20.978,-0.058,1.850
60.308,562.704,21.062,-0.072,1.860
60.519,562.703,21.146,-0.085,1.870
60.731,562.702,21.229,-0.098,1.880
60.943,562.701,21.313,-0.112,1.890
61.157,562.700,21.395,-0.125,1.900
61.371,562.699,21.478,-0.139,1.910
61.586,562.697,21.560,-0.153,1.920
61.802,562.696,21.642,-0.167,1.930
62.019,562.694,21.724,-0.181,1.940
62.237,562.692,21.805,-0.195,1.950
62.455,562.690,21.886,-0.209,1.960
62.675,562.688,21.967,-0.224,1.970
62.895,562.686,22.047,-0.239,1.980
63.116,562.683,22.128,-0.253,1.990
63.337,562.680,22.207,-0.268,2.000
63.560,562.678,22.287,-0.283,2.010
63.783,562.675,22.366,-0.298,2.020
64.007,562.672,22.445,-0.313,2.030
64.232,562.669,22.524,-0.329,2.040
64.457,562.665,22.602,-0.344,2.050
64.684,562.662,22.680,-0.360,2.060
64.911,562.658,22.758,-0.375,2.070
65.139,562.654,22.835,-0.391,2.080
65.368,562.650,22.913,-0.407,2.090
65.597,562.646,22.989,-0.423,2.100
65.828,562.642,23.066,-0.439,2.110
66.059,562.637,23.142,-0.456,2.120
66.290,562.633,23.218,-0.472,2.130
66.523,562.628,23.294,-0.489,2.140
66.756,562.623,23.369,-0.505,2.150
66.990,562.618,23.444,-0.522,2.160
67.225,562.612,23.519,-0.539,2.170
67.461,562.607,23.593,-0.556,2.180
67.697,562.601,23.667,-0.573,2.190
67.934,562.595,23.741,-0.590,2.200
68.172,562.589,23.815,-0.608,2.210
68.410,562.583,23.888,-0.625,2.220
68.650,562.577,23.961,-0.643,2.230
68.890,562.570,24.034,-0.661,2.240
69.130,562.564,24.106,-0.678,2.250
69.372,562.557,24.178,-0.696,2.260
69.614,562.550,24.250,-0.715,2.270
69.857,562.543,24.321,-0.733,2.280
70.100,562.535,24.393,-0.751,2.290
70.345,562.528,24.464,-0.769,2.300
70.590,562.520,24.534,-0.788,2.310
70.835,562.512,24.604,-0.807,2.320
71.082,562.504,24.674,-0.825,2.330
71.329,562.495,24.744,-0.844,2.340
71.577,562.487,24.814,-0.863,2.350
71.825,562.478,24.883,-0.882,2.360
72.074,562.469,24.951,-0.902,2.370
72.324,562.460,25.020,-0.921,2.380
72.575,562.451,25.088,-0.941,2.390
72.826,562.441,25.156,-0.960,2.400
73.078,562.431,25.224,-0.980,2.410
73.330,562.422,25.291,-1.000,2.420
73.584,562.411,25.358,-1.020,2.430
73.837,562.401,25.425,-1.040,2.440
74.092,562.391,25.491,-1.060,2.450
74.347,562.380,25.558,-1.080,2.460
74.603,562.369,25.623,-1.100,2.470
74.860,562.358,25.689,-1.121,2.480
75.117,562.347,25.754,-1.141,2.490
75.375,562.335,25.819,-1.162,2.500
75.633,562.323,25.884,-1.183,2.510
75.892,562.311,25.948,-1.204,2.520
76.152,562.299,26.013,-1.225,2.530
76.413,562.287,26.076,-1.246,2.540
76.674,562.274,26.140,-1.267,2.550
76.936,562.262,26.203,-1.289,2.560
77.198,562.249,26.266,-1.310,2.570
77.461,562.235,26.329,-1.332,2.580
77.724,562.222,26.391,-1.354,2.590
77.989,562.208,26.453,-1.376,2.600
