time,x,y,vx,vy
26.000,575.000,0.000,0.000,0.000
26.107,574.968,2.131,-0.642,0.100
26.424,574.872,4.195,-1.268,0.200
26.944,574.715,6.192,-1.879,0.300
27.660,574.497,8.123,-2.476,0.400
28.566,574.220,9.989,-3.057,0.500
29.656,573.886,11.790,-3.624,0.600
30.922,573.496,13.526,-4.177,0.700
32.359,573.051,15.197,-4.716,0.800
33.959,572.553,16.804,-5.241,0.900
35.718,572.003,18.348,-5.753,1.000
37.627,571.403,19.829,-6.252,1.100
39.681,570.753,21.247,-6.738,1.200
41.874,570.056,22.603,-7.211,1.300
44.200,569.312,23.897,-7.672,1.400
46.652,568.522,25.130,-8.121,1.500
49.224,567.688,26.301,-8.559,1.600
51.910,566.810,27.412,-8.985,1.700
54.704,565.891,28.463,-9.399,1.800
57.601,564.931,29.454,-9.803,1.900
60.593,563.931,30.386,-10.197,2.000
63.676,562.892,31.259,-10.579,2.100
66.843,561.815,32.073,-10.952,2.200
70.088,560.702,32.829,-11.315,2.300
73.407,559.553,33.527,-11.668,2.400
76.792,558.368,34.169,-12.012,2.500
80.239,557.150,34.753,-12.347,2.600
83.741,555.899,35.281,-12.674,2.700
87.293,554.616,35.753,-12.991,2.800
90.890,553.301,36.169,-13.301,2.900
94.525,551.956,36.531,-13.602,3.000
98.194,550.581,36.837,-13.896,3.100
101.891,549.177,37.091,-14.183,3.200
105.610,547.745,37.293,-14.461,3.300
109.348,546.285,37.446,-14.733,3.400
113.098,544.798,37.550,-14.996,3.500
116.856,543.286,37.608,-15.253,3.600
120.618,541.748,37.622,-15.502,3.700
124.379,540.186,37.592,-15.744,3.800
128.135,538.600,37.522,-15.978,3.900
131.882,536.990,37.411,-16.205,4.000
135.616,535.359,37.262,-16.425,4.100
139.333,533.706,37.078,-16.639,4.200
143.030,532.031,36.858,-16.845,4.300
146.704,530.337,36.606,-17.044,4.400
150.351,528.623,36.322,-17.236,4.500
153.967,526.890,36.009,-17.421,4.600
157.551,525.139,35.668,-17.599,4.700
161.100,523.370,35.300,-17.771,4.800
164.611,521.585,34.908,-17.935,4.900
168.081,519.784,34.493,-18.094,5.000
171.508,517.967,34.057,-18.245,5.100
174.892,516.135,33.601,-18.390,5.200
178.228,514.289,33.127,-18.528,5.300
181.516,512.429,32.638,-18.660,5.400
184.755,510.557,32.133,-18.786,5.500
187.943,508.672,31.616,-18.905,5.600
191.078,506.776,31.088,-19.018,5.700
194.160,504.869,30.550,-19.124,5.800
197.188,502.951,30.004,-19.225,5.900
200.161,501.024,29.452,-19.319,6.000
203.078,499.088,28.896,-19.407,6.100
205.940,497.143,28.336,-19.489,6.200
208.745,495.190,27.774,-19.564,6.300
211.494,493.230,27.209,-19.634,6.400
214.187,491.264,26.645,-19.696,6.500
216.823,489.291,26.080,-19.753,6.600
219.403,487.313,25.517,-19.802,6.700
221.927,485.331,24.956,-19.845,6.800
224.395,483.345,24.399,-19.881,6.900
226.807,481.355,23.845,-19.910,7.000
229.164,479.363,23.297,-19.932,7.100
231.466,477.369,22.755,-19.946,7.200
233.715,475.374,22.220,-19.954,7.300
235.911,473.378,21.693,-19.954,7.400
238.054,471.383,21.174,-19.947,7.500
240.146,469.389,20.666,-19.933,7.600
242.187,467.397,20.169,-19.911,7.700
244.180,465.407,19.683,-19.881,7.800
246.125,463.421,19.211,-19.844,7.900
248.023,461.439,18.752,-19.798,8.000
249.875,459.462,18.308,-19.745,8.100
251.685,457.490,17.879,-19.684,8.200
253.452,455.525,17.468,-19.615,8.300
255.179,453.567,17.073,-19.537,8.400
256.867,451.618,16.698,-19.451,8.500
258.519,449.677,16.342,-19.357,8.600
260.136,447.747,16.006,-19.255,8.700
261.721,445.827,15.692,-19.143,8.800
263.275,443.918,15.400,-19.023,8.900
264.802,442.022,15.132,-18.895,9.000
266.303,440.140,14.888,-18.757,9.100
267.780,438.271,14.667,-18.612,9.200
269.237,436.418,14.469,-18.459,9.300
270.674,434.580,14.292,-18.299,9.400
272.096,432.758,14.135,-18.134,9.500
273.502,430.953,13.999,-17.962,9.600
274.896,429.165,13.881,-17.787,9.700
276.279,427.396,13.781,-17.607,9.800
277.653,425.644,13.698,-17.424,9.900
279.019,423.911,13.631,-17.238,10.000
280.379,422.197,13.578,-17.050,10.100
281.735,420.501,13.540,-16.861,10.200
283.088,418.825,13.515,-16.671,10.300
284.439,417.167,13.502,-16.482,10.400
285.789,415.528,13.501,-16.293,10.500
287.139,413.908,13.510,-16.106,10.600
288.491,412.307,13.528,-15.921,10.700
289.845,410.724,13.555,-15.739,10.800
291.202,409.159,13.589,-15.561,10.900
292.563,407.612,13.630,-15.386,11.000
293.928,406.081,13.676,-15.217,11.100
295.299,404.568,13.727,-15.053,11.200
296.674,403.071,13.782,-14.896,11.300
298.055,401.588,13.840,-14.746,11.400
299.442,400.121,13.900,-14.603,11.500
300.835,398.668,13.961,-14.469,11.600
302.234,397.227,14.022,-14.344,11.700
303.640,395.798,14.082,-14.228,11.800
305.051,394.381,14.140,-14.124,11.900
306.468,392.973,14.196,-14.030,12.000
307.890,391.575,14.248,-13.948,12.100
309.317,390.183,14.296,-13.877,12.200
310.749,388.799,14.341,-13.817,12.300
312.185,387.420,14.382,-13.767,12.400
313.625,386.045,14.420,-13.728,12.500
315.069,384.674,14.455,-13.698,12.600
316.516,383.305,14.486,-13.676,12.700
317.966,381.938,14.513,-13.664,12.800
