time,x,y,vx,vy
39.000,365.000,0.000,0.000,0.000
38.632,366.074,-7.074,21.060,0.100
37.641,369.130,-12.487,39.665,0.200
36.187,373.929,-16.340,55.928,0.300
34.421,380.242,-18.738,69.965,0.400
32.484,387.852,-19.784,81.891,0.500
30.506,396.553,-19.582,91.821,0.600
28.606,406.153,-18.234,99.868,0.700
26.894,416.468,-15.845,106.149,0.800
25.468,427.328,-12.518,110.778,0.900
24.418,438.572,-8.356,113.869,1.000
23.821,450.054,-3.463,115.538,1.100
23.746,461.636,2.057,115.899,1.200
24.250,473.194,8.103,115.067,1.300
25.381,484.614,14.569,113.158,1.400
27.174,495.794,21.352,110.285,1.500
29.658,506.643,28.349,106.563,1.600
32.848,517.082,35.457,102.108,1.700
36.750,527.044,42.572,97.034,1.800
41.359,536.472,49.591,91.456,1.900
46.661,545.322,56.409,85.489,2.000
52.631,553.561,62.926,79.246,2.100
59.234,561.165,69.080,72.806,2.200
66.435,568.116,74.860,66.202,2.300
74.194,574.401,80.257,59.467,2.400
82.473,580.006,85.264,52.633,2.500
91.233,584.925,89.871,45.732,2.600
100.434,589.152,94.070,38.797,2.700
110.033,592.684,97.853,31.859,2.800
119.990,595.524,101.211,24.951,2.900
130.261,597.677,104.136,18.104,3.000
140.802,599.148,106.619,11.352,3.100
151.570,599.951,108.651,4.725,3.200
162.517,600.099,110.226,-1.744,3.300
173.599,599.609,111.333,-8.022,3.400
184.768,598.502,111.964,-14.077,3.500
195.976,596.802,112.112,-19.878,3.600
207.174,594.536,111.767,-25.392,3.700
218.313,591.734,110.921,-30.588,3.800
229.341,588.430,109.566,-35.432,3.900
240.209,584.660,107.693,-39.893,4.000
250.862,580.465,105.293,-43.939,4.100
261.249,575.887,102.359,-47.537,4.200
271.316,570.974,98.882,-50.656,4.300
281.007,565.773,94.853,-53.263,4.400
290.268,560.339,90.264,-55.326,4.500
299.041,554.727,85.106,-56.813,4.600
307.270,548.997,79.384,-57.703,4.700
314.902,543.205,73.184,-58.045,4.800
321.895,537.403,66.618,-57.915,4.900
328.217,531.635,59.803,-57.386,5.000
333.851,525.937,52.851,-56.534,5.100
338.787,520.337,45.878,-55.433,5.200
343.030,514.856,38.998,-54.158,5.300
346.593,509.508,32.324,-52.783,5.400
349.505,504.300,25.973,-51.384,5.500
351.802,499.230,20.056,-50.035,5.600
353.533,494.290,14.633,-48.786,5.700
354.745,489.469,9.691,-47.659,5.800
