x,y
26.000,569.000
27.000,568.000
28.000,567.000
29.000,566.000
30.000,565.000
31.000,564.000
32.000,563.000
33.000,562.000
34.000,561.000
35.000,560.000
36.000,559.000
37.000,558.000
38.000,557.000
39.000,556.000
40.000,555.000
41.000,554.000
42.000,553.000
43.000,552.000
44.000,551.000
45.000,550.000
46.000,549.000
47.000,548.000
48.000,547.000
49.000,546.000
50.000,545.000
51.000,544.000
52.000,543.000
53.000,542.000
54.000,541.000
55.000,540.000
56.000,539.000
57.000,538.000
58.000,537.000
59.000,536.000
60.000,535.000
61.000,534.000
62.000,533.000
63.000,532.000
64.000,531.000
65.000,530.000
66.000,529.000
67.000,528.000
68.000,527.000
69.000,526.000
70.000,525.000
71.000,524.000
72.000,523.000
73.000,522.000
74.000,521.000
75.000,520.000
76.000,519.000
77.000,518.000
78.000,517.000
79.000,516.000
80.000,515.000
81.000,514.000
82.000,513.000
83.000,512.000
84.000,511.000
85.000,510.000
86.000,509.000
87.000,508.000
88.000,507.000
89.000,506.000
90.000,505.000
91.000,504.000
92.000,503.000
93.000,502.000
94.000,501.000
95.000,500.000
96.000,499.000
97.000,498.000
98.000,497.000
99.000,496.000
99.000,495.000
99.000,494.000
99.000,493.000
99.000,492.000
99.000,491.000
99.000,490.000
99.000,489.000
99.000,488.000
99.000,487.000
99.000,486.000
99.000,485.000
99.000,484.000
99.000,483.000
99.000,482.000
99.000,481.000
99.000,480.000
99.000,479.000
99.000,478.000
99.000,477.000
99.000,476.000
99.000,475.000
99.000,474.000
99.000,473.000
99.000,472.000
99.000,471.000
99.000,470.000
99.000,469.000
99.000,468.000
99.000,467.000
99.000,466.000
99.000,465.000
99.000,464.000
99.000,463.000
99.000,462.000
99.000,461.000
99.000,460.000
99.000,459.000
99.000,458.000
99.000,457.000
99.000,456.000
99.000,455.000
99.000,454.000
99.000,453.000
99.000,452.000
99.000,451.000
99.000,450.000
99.000,449.000
99.000,448.000
99.000,447.000
99.000,446.000
99.000,445.000
99.000,444.000
99.000,443.000
99.000,442.000
99.000,441.000
99.000,440.000
99.000,439.000
99.000,438.000
99.000,437.000
99.000,436.000
99.000,435.000
99.000,434.000
99.000,433.000
99.000,432.000
99.000,431.000
99.000,430.000
99.000,429.000
99.000,428.000
99.000,427.000
99.000,426.000
99.000,425.000
99.000,424.000
99.000,423.000
99.000,422.000
99.000,421.000
99.000,420.000
99.000,419.000
99.000,418.000
99.000,417.000
99.000,416.000
99.000,415.000
99.000,414.000
99.000,413.000
99.000,412.000
99.000,411.000
99.000,410.000
99.000,409.000
99.000,408.000
99.000,407.000
99.000,406.000
99.000,405.000
99.000,404.000
99.000,403.000
99.000,402.000
99.000,401.000
99.000,400.000
99.000,399.000
99.000,398.000
99.000,397.000
99.000,396.000
99.000,395.000
99.000,394.000
99.000,393.000
99.000,392.000
99.000,391.000
99.000,390.000
99.000,389.000
99.000,388.000
99.000,387.000
99.000,386.000
99.000,385.000
99.000,384.000
99.000,383.000
99.000,382.000
99.000,381.000
99.000,380.000
99.000,379.000
99.000,378.000
99.000,377.000
99.000,376.000
99.000,375.000
99.000,374.000
99.000,373.000
99.000,372.000
99.000,371.000
99.000,370.000
99.000,369.000
99.000,368.000
99.000,367.000
99.000,366.000
99.000,365.000
99.000,364.000
99.000,363.000
99.000,362.000
99.000,361.000
99.000,360.000
99.000,359.000
99.000,358.000
99.000,357.000
99.000,356.000
99.000,355.000
99.000,354.000
99.000,353.000
99.000,352.000
99.000,351.000
99.000,350.000
99.000,349.000
99.000,348.000
99.000,347.000
99.000,346.000
99.000,345.000
99.000,344.000
99.000,343.000
99.000,342.000
99.000,341.000
99.000,340.000
99.000,339.000
99.000,338.000
99.000,337.000
99.000,336.000
99.000,335.000
99.000,334.000
99.000,333.000
99.000,332.000
99.000,331.000
99.000,330.000
99.000,329.000
99.000,328.000
99.000,327.000
99.000,326.000
99.000,325.000
99.000,324.000
99.000,323.000
99.000,322.000
99.000,321.000
99.000,320.000
99.000,319.000
99.000,318.000
99.000,317.000
99.000,316.000
99.000,315.000
99.000,314.000
99.000,313.000
99.000,312.000
99.000,311.000
99.000,310.000
99.000,309.000
99.000,308.000
99.000,307.000
99.000,306.000
99.000,305.000
99.000,304.000
99.000,303.000
99.000,302.000
99.000,301.000
99.000,300.000
100.000,299.000
101.000,299.000
102.000,299.000
103.000,299.000
104.000,299.000
105.000,299.000
106.000,299.000
107.000,299.000
108.000,299.000
109.000,299.000
110.000,299.000
111.000,299.000
112.000,299.000
113.000,299.000
114.000,299.000
115.000,299.000
116.000,299.000
117.000,299.000
118.000,299.000
119.000,299.000
120.000,299.000
121.000,299.000
122.000,299.000
123.000,299.000
124.000,299.000
125.000,299.000
126.000,299.000
127.000,299.000
128.000,299.000
129.000,299.000
130.000,299.000
131.000,299.000
132.000,299.000
133.000,299.000
134.000,299.000
135.000,299.000
136.000,299.000
137.000,299.000
138.000,299.000
139.000,299.000
140.000,299.000
141.000,299.000
142.000,299.000
143.000,299.000
144.000,299.000
145.000,299.000
146.000,299.000
147.000,299.000
148.000,299.000
149.000,299.000
150.000,299.000
151.000,299.000
152.000,299.000
153.000,299.000
154.000,299.000
155.000,299.000
156.000,299.000
157.000,299.000
158.000,299.000
159.000,299.000
160.000,299.000
161.000,299.000
162.000,299.000
163.000,299.000
164.000,299.000
165.000,299.000
166.000,299.000
167.000,299.000
168.000,299.000
169.000,299.000
170.000,299.000
171.000,299.000
172.000,299.000
173.000,299.000
174.000,299.000
175.000,299.000
176.000,299.000
177.000,299.000
178.000,299.000
179.000,299.000
180.000,299.000
181.000,299.000
182.000,299.000
183.000,299.000
184.000,299.000
185.000,299.000
186.000,299.000
187.000,299.000
188.000,299.000
189.000,299.000
190.000,299.000
191.000,299.000
192.000,299.000
193.000,299.000
194.000,299.000
195.000,299.000
196.000,299.000
197.000,299.000
198.000,299.000
199.000,299.000
200.000,299.000
201.000,298.000
202.000,297.000
203.000,296.000
204.000,295.000
205.000,294.000
206.000,293.000
207.000,292.000
208.000,291.000
209.000,290.000
210.000,289.000
211.000,288.000
212.000,287.000
213.000,286.000
214.000,285.000
215.000,284.000
216.000,283.000
217.000,282.000
218.000,281.000
219.000,280.000
220.000,279.000
221.000,278.000
222.000,277.000
223.000,276.000
