time,x,y,vx,vy
0.000,19.000,790.000,-5.259,-18.902
0.100,18.466,788.130,-5.411,-18.490
0.200,17.919,786.302,-5.538,-18.088
0.300,17.359,784.513,-5.641,-17.695
0.400,16.791,782.762,-5.721,-17.311
0.500,16.216,781.050,-5.777,-16.935
0.600,15.637,779.375,-5.810,-16.569
0.700,15.055,777.736,-5.821,-16.211
0.800,14.473,776.133,-5.809,-15.861
0.900,13.894,774.563,-5.777,-15.520
1.000,13.318,773.028,-5.722,-15.188
1.100,12.750,771.526,-5.648,-14.863
1.200,12.190,770.055,-5.552,-14.547
1.300,11.640,768.616,-5.437,-14.238
1.400,11.103,767.207,-5.303,-13.937
1.500,10.580,765.828,-5.150,-13.644
1.600,10.074,764.478,-4.977,-13.359
1.700,9.585,763.156,-4.787,-13.081
1.800,9.117,761.862,-4.579,-12.810
1.900,8.670,760.594,-4.354,-12.546
2.000,8.246,759.352,-4.112,-12.290
2.100,7.848,758.136,-3.854,-12.040
2.200,7.476,756.944,-3.580,-11.798
2.300,7.133,755.776,-3.290,-11.562
2.400,6.819,754.631,-2.985,-11.332
2.500,6.536,753.509,-2.665,-11.109
2.600,6.286,752.409,-2.331,-10.893
2.700,6.070,751.331,-1.984,-10.682
2.800,5.890,750.273,-1.622,-10.478
2.900,5.746,749.235,-1.248,-10.280
3.000,5.641,748.217,-0.862,-10.087
3.100,5.574,747.217,-0.463,-9.901
3.200,5.548,746.236,-0.053,-9.720
3.300,5.564,745.273,0.368,-9.544
3.400,5.622,744.327,0.800,-9.374
3.500,5.724,743.398,1.243,-9.209
3.600,5.871,742.485,1.695,-9.050
3.700,6.064,741.588,2.157,-8.895
3.800,6.303,740.706,2.628,-8.745
3.900,6.589,739.839,3.107,-8.600
4.000,6.925,738.986,3.595,-8.460
4.100,7.309,738.147,4.090,-8.324
4.200,7.743,737.321,4.593,-8.193
4.300,8.228,736.508,5.102,-8.065
4.400,8.764,735.708,5.618,-7.942
4.500,9.351,734.919,6.140,-7.824
4.600,9.992,734.143,6.668,-7.709
4.700,10.685,733.377,7.201,-7.598
4.800,11.432,732.623,7.738,-7.490
4.900,12.233,731.879,8.279,-7.386
5.000,13.088,731.146,8.825,-7.286
5.100,13.998,730.422,9.374,-7.189
5.200,14.963,729.708,9.925,-7.095
5.300,15.983,729.003,10.480,-7.004
5.400,17.059,728.307,11.036,-6.916
5.500,18.190,727.620,11.594,-6.831
5.600,19.378,726.941,12.154,-6.749
5.700,20.621,726.270,12.714,-6.669
5.800,21.921,725.607,13.274,-6.592
5.900,23.276,724.951,13.834,-6.517
6.000,24.687,724.303,14.394,-6.445
6.100,26.155,723.662,14.953,-6.374
6.200,27.678,723.028,15.511,-6.306
6.300,29.257,722.401,16.067,-6.239
6.400,30.891,721.780,16.620,-6.174
6.500,32.581,721.166,17.171,-6.111
6.600,34.325,720.558,17.719,-6.050
6.700,36.124,719.956,18.263,-5.989
6.800,37.978,719.360,18.803,-5.930
6.900,39.885,718.770,19.339,-5.872
7.000,41.845,718.186,19.870,-5.816
7.100,43.859,717.607,20.395,-5.760
7.200,45.924,717.034,20.915,-5.705
7.300,48.041,716.466,21.429,-5.650
7.400,50.210,715.904,21.936,-5.596
7.500,52.429,715.347,22.437,-5.543
7.600,54.697,714.795,22.929,-5.490
7.700,57.014,714.249,23.414,-5.437
7.800,59.379,713.708,23.891,-5.384
