x,y,vx,vy,time
39.000,562.000,0.000,0.000,0.000
39.014,561.999,2.880,-0.108,0.010
39.057,561.998,5.728,-0.221,0.020
39.129,561.995,8.544,-0.337,0.030
39.228,561.991,11.329,-0.457,0.040
39.355,561.986,14.083,-0.581,0.050
39.510,561.979,16.805,-0.708,0.060
39.691,561.972,19.496,-0.840,0.070
39.900,561.963,22.156,-0.975,0.080
40.134,561.952,24.785,-1.114,0.090
40.395,561.940,27.383,-1.257,0.100
40.682,561.927,29.950,-1.404,0.110
40.994,561.912,32.487,-1.554,0.120
41.332,561.896,34.993,-1.709,0.130
41.694,561.878,37.469,-1.867,0.140
42.081,561.859,39.914,-2.028,0.150
42.492,561.837,42.329,-2.193,0.160
42.927,561.815,44.714,-2.362,0.170
43.386,561.790,47.069,-2.535,0.180
43.869,561.764,49.394,-2.711,0.190
44.374,561.736,51.690,-2.891,0.200
44.902,561.706,53.955,-3.075,0.210
45.453,561.674,56.191,-3.262,0.220
46.026,561.641,58.398,-3.452,0.230
46.621,561.605,60.575,-3.647,0.240
47.237,561.568,62.723,-3.844,0.250
47.875,561.529,64.842,-4.046,0.260
48.534,561.487,66.932,-4.251,0.270
49.214,561.443,68.993,-4.459,0.280
49.914,561.398,71.025,-4.671,0.290
50.634,561.350,73.028,-4.886,0.300
51.374,561.300,75.003,-5.105,0.310
52.134,561.248,76.949,-5.327,0.320
52.913,561.194,78.867,-5.553,0.330
53.711,561.137,80.757,-5.782,0.340
54.528,561.078,82.618,-6.015,0.350
55.364,561.017,84.452,-6.251,0.360
56.217,560.953,86.257,-6.490,0.370
57.089,560.887,88.035,-6.733,0.380
57.978,560.818,89.785,-6.979,0.390
58.884,560.747,91.507,-7.228,0.400
59.808,560.674,93.202,-7.481,0.410
60.748,560.598,94.869,-7.737,0.420
61.705,560.519,96.509,-7.996,0.430
62.678,560.438,98.122,-8.259,0.440
63.668,560.354,99.708,-8.525,0.450
64.672,560.267,101.266,-8.794,0.460
65.693,560.178,102.798,-9.066,0.470
66.728,560.086,104.303,-9.342,0.480
67.779,559.991,105.782,-9.621,0.490
68.844,559.893,107.234,-9.902,0.500
69.923,559.793,108.659,-10.188,0.510
71.017,559.690,110.058,-10.476,0.520
72.124,559.583,111.431,-10.767,0.530
73.246,559.474,112.778,-11.062,0.540
74.380,559.362,114.099,-11.359,0.550
75.527,559.247,115.394,-11.660,0.560
76.688,559.129,116.663,-11.964,0.570
77.861,559.008,117.906,-12.271,0.580
79.046,558.883,119.124,-12.581,0.590
80.243,558.756,120.317,-12.894,0.600
81.452,558.626,121.484,-13.210,0.610
82.673,558.492,122.625,-13.529,0.620
83.904,558.355,123.742,-13.851,0.630
85.147,558.215,124.834,-14.176,0.640
86.401,558.071,125.900,-14.504,0.650
87.665,557.925,126.942,-14.835,0.660
88.940,557.775,127.959,-15.169,0.670
90.224,557.621,128.952,-15.506,0.680
91.519,557.465,129.920,-15.845,0.690
92.823,557.304,130.863,-16.188,0.700
94.136,557.141,131.783,-16.533,0.710
95.458,556.974,132.678,-16.882,0.720
96.789,556.803,133.549,-17.233,0.730
98.129,556.629,134.396,-17.587,0.740
99.477,556.451,135.220,-17.944,0.750
100.833,556.270,136.019,-18.303,0.760
102.198,556.085,136.795,-18.666,0.770
103.569,555.897,137.548,-19.031,0.780
104.948,555.705,138.277,-19.399,0.790
106.335,555.509,138.982,-19.770,0.800
107.728,555.309,139.665,-20.143,0.810
109.128,555.106,140.324,-20.519,0.820
110.534,554.899,140.961,-20.898,0.830
111.947,554.688,141.574,-21.280,0.840
113.366,554.473,142.165,-21.664,0.850
114.790,554.255,142.733,-22.051,0.860
116.220,554.032,143.279,-22.440,0.870
117.656,553.806,143.802,-22.832,0.880
119.096,553.576,144.303,-23.227,0.890
120.542,553.341,144.781,-23.624,0.900
121.992,553.103,145.238,-24.024,0.910
123.447,552.861,145.672,-24.427,0.920
124.905,552.615,146.085,-24.832,0.930
126.368,552.364,146.476,-25.240,0.940
