x,y,vx,vy,time
26.000,575.000,134.615,20.578,0.000
27.344,575.203,134.219,19.986,0.010
28.684,575.400,133.824,19.395,0.020
30.021,575.591,133.430,18.806,0.030
31.353,575.776,133.038,18.218,0.040
32.681,575.955,132.646,17.631,0.050
34.006,576.128,132.255,17.046,0.060
35.327,576.296,131.866,16.462,0.070
36.643,576.458,131.477,15.879,0.080
37.956,576.614,131.090,15.298,0.090
39.265,576.764,130.704,14.718,0.100
40.570,576.908,130.319,14.140,0.110
41.871,577.046,129.935,13.563,0.120
43.169,577.179,129.552,12.988,0.130
44.462,577.306,129.170,12.413,0.140
45.752,577.428,128.789,11.841,0.150
47.038,577.543,128.409,11.269,0.160
48.320,577.653,128.031,10.699,0.170
49.599,577.757,127.653,10.130,0.180
50.874,577.856,127.277,9.563,0.190
52.144,577.948,126.902,8.997,0.200
53.412,578.035,126.528,8.433,0.210
54.675,578.117,126.155,7.870,0.220
55.935,578.193,125.783,7.308,0.230
57.191,578.263,125.412,6.748,0.240
58.443,578.328,125.042,6.189,0.250
59.691,578.387,124.673,5.631,0.260
60.936,578.440,124.306,5.075,0.270
62.178,578.488,123.939,4.520,0.280
63.415,578.531,123.574,3.967,0.290
64.649,578.568,123.210,3.415,0.300
65.879,578.599,122.847,2.864,0.310
67.106,578.625,122.484,2.315,0.320
68.329,578.645,122.123,1.767,0.330
69.548,578.660,121.764,1.221,0.340
70.764,578.670,121.405,0.676,0.350
71.977,578.674,121.047,0.132,0.360
73.185,578.673,120.691,-0.410,0.370
74.390,578.666,120.335,-0.951,0.380
75.592,578.654,119.981,-1.491,0.390
76.790,578.636,119.627,-2.029,0.400
77.985,578.613,119.275,-2.565,0.410
79.176,578.585,118.924,-3.101,0.420
80.218,578.555,118.617,-3.569,1.100
81.402,578.517,118.268,-4.102,1.110
82.583,578.473,117.920,-4.634,1.120
83.761,578.424,117.573,-5.163,1.130
84.935,578.370,117.227,-5.692,1.140
86.105,578.310,116.883,-6.219,1.150
87.272,578.246,116.539,-6.745,1.160
88.436,578.176,116.197,-7.269,1.170
89.596,578.100,115.855,-7.793,1.180
90.753,578.020,115.515,-8.314,1.190
91.906,577.934,115.176,-8.834,1.200
93.056,577.843,114.838,-9.353,1.210
94.203,577.747,114.501,-9.871,1.220
95.346,577.646,114.165,-10.387,1.230
96.486,577.539,113.830,-10.902,1.240
97.623,577.428,113.496,-11.415,1.250
98.756,577.311,113.164,-11.927,1.260
99.886,577.189,112.832,-12.437,1.270
101.013,577.062,112.502,-12.947,1.280
102.136,576.930,112.173,-13.454,1.290
103.256,576.793,111.844,-13.961,1.300
104.373,576.651,111.517,-14.466,1.310
105.487,576.504,111.191,-14.969,1.320
106.597,576.352,110.866,-15.472,1.330
107.704,576.194,110.542,-15.972,1.340
108.808,576.032,110.220,-16.472,1.350
109.909,575.865,109.898,-16.970,1.360
111.006,575.693,109.577,-17.467,1.370
112.100,575.516,109.258,-17.962,1.380
113.191,575.334,108.940,-18.456,1.390
114.279,575.146,108.622,-18.948,1.400
115.364,574.955,108.306,-19.439,1.410
116.445,574.758,107.991,-19.929,1.420
117.523,574.556,107.677,-20.417,1.430
118.599,574.349,107.364,-20.904,1.440
119.671,574.138,107.052,-21.390,1.450
120.740,573.922,106.742,-21.874,1.460
121.806,573.700,106.432,-22.357,1.470
122.868,573.474,106.124,-22.838,1.480
123.928,573.244,105.816,-23.318,1.490
124.985,573.008,105.510,-23.797,1.500
126.038,572.768,105.205,-24.274,1.510
127.089,572.523,104.900,-24.750,1.520
128.136,572.273,104.597,-25.225,1.530
129.181,572.018,104.295,-25.698,1.540
130.222,571.759,103.995,-26.170,1.550
131.261,571.495,103.695,-26.640,1.560
132.296,571.226,103.396,-27.109,1.570
133.328,570.953,103.098,-27.576,1.580
134.358,570.674,102.802,-28.043,1.590
135.385,570.392,102.507,-28.507,1.600
136.408,570.104,102.212,-28.971,1.610
137.429,569.812,101.919,-29.433,1.620
138.447,569.516,101.627,-29.893,1.630
139.461,569.214,101.336,-30.353,1.640
140.473,568.909,101.046,-30.810,1.650
141.482,568.598,100.757,-31.267,1.660
142.488,568.283,100.469,-31.722,1.670
143.492,567.964,100.183,-32.176,1.680
144.492,567.640,99.897,-32.628,1.690
145.490,567.311,99.612,-33.079,1.700
146.484,566.978,99.329,-33.528,1.710
147.476,566.641,99.047,-33.976,1.720
148.465,566.299,98.766,-34.423,1.730
149.451,565.952,98.485,-34.869,1.740
150.435,565.601,98.206,-35.313,1.750
151.416,565.246,97.928,-35.755,1.760
152.393,564.886,97.652,-36.196,1.770
153.369,564.522,97.376,-36.636,1.780
154.341,564.153,97.101,-37.075,1.790
155.311,563.781,96.827,-37.512,1.800
156.278,563.403,96.555,-37.947,1.810
157.242,563.022,96.284,-38.382,1.820
158.203,562.636,96.013,-38.814,1.830
159.162,562.245,95.744,-39.246,1.840
160.118,561.851,95.476,-39.676,1.850
161.072,561.452,95.209,-40.105,1.860
162.022,561.049,94.943,-40.532,1.870
162.970,560.641,94.678,-40.958,1.880
163.916,560.229,94.414,-41.383,1.890
164.859,559.814,94.151,-41.806,1.900
165.799,559.393,93.890,-42.228,1.910
166.736,558.969,93.629,-42.648,1.920
167.671,558.540,93.370,-43.067,1.930
168.604,558.108,93.111,-43.485,1.940
169.534,557.671,92.854,-43.901,1.950
170.461,557.230,92.598,-44.316,1.960
171.386,556.784,92.343,-44.729,1.970
