time,x,y,vx,vy
26.000,575.000,110.216,17.743,0.000
36.556,576.175,100.984,5.859,0.100
46.212,576.191,92.199,-5.447,0.200
55.011,575.105,83.860,-16.176,0.300
62.998,572.975,75.963,-26.330,0.400
70.218,569.858,68.506,-35.914,0.500
76.714,565.811,61.487,-44.928,0.600
82.530,560.891,54.903,-53.375,0.700
87.709,555.155,48.753,-61.258,0.800
92.295,548.658,43.033,-68.579,0.900
96.330,541.458,37.742,-75.341,1.000
99.858,533.609,32.877,-81.545,1.100
102.920,525.167,28.435,-87.195,1.200
105.559,516.188,24.415,-92.293,1.300
107.817,506.727,20.814,-96.840,1.400
109.736,496.838,17.629,-100.841,1.500
111.356,486.577,14.859,-104.296,1.600
112.721,475.997,12.500,-107.208,1.700
113.870,465.153,10.551,-109.581,1.800
114.845,454.099,9.009,-111.415,1.900
115.685,442.888,7.872,-112.715,2.000
115.685,442.888,7.872,-112.715,2.000
116.432,431.574,7.133,-113.485,2.100
117.125,420.208,6.773,-113.748,2.200
117.799,408.840,6.766,-113.528,2.300
118.489,397.518,7.087,-112.852,2.400
119.226,386.284,7.713,-111.745,2.500
120.041,375.182,8.618,-110.232,2.600
120.958,364.251,9.778,-108.338,2.700
122.004,353.526,11.169,-106.089,2.800
123.199,343.044,12.766,-103.511,2.900
124.563,332.834,14.544,-100.628,3.000
126.113,322.928,16.479,-97.467,3.100
127.863,313.350,18.546,-94.052,3.200
129.826,304.125,20.721,-90.409,3.300
132.010,295.275,22.979,-86.563,3.400
134.424,286.818,25.295,-82.541,3.500
137.070,278.772,27.646,-78.366,3.600
139.953,271.149,30.006,-74.065,3.700
143.071,263.962,32.350,-69.663,3.800
146.422,257.219,34.655,-65.186,3.900
150.000,250.926,36.896,-60.658,4.000
150.000,250.926,36.896,-60.658,4.000
153.798,245.088,39.051,-56.104,4.100
157.807,239.706,41.107,-51.539,4.200
162.016,234.780,43.057,-46.976,4.300
166.414,230.310,44.892,-42.429,4.400
170.990,226.293,46.602,-37.913,4.500
175.730,222.726,48.178,-33.439,4.600
180.621,219.604,49.612,-29.023,4.700
185.648,216.919,50.894,-24.678,4.800
190.795,214.665,52.017,-20.417,4.900
196.045,212.833,52.970,-16.255,5.000
201.383,211.411,53.744,-12.204,5.100
206.788,210.388,54.332,-8.278,5.200
212.242,209.750,54.724,-4.492,5.300
217.726,209.484,54.910,-0.858,5.400
223.217,209.573,54.883,2.609,5.500
228.695,210.000,54.633,5.896,5.600
234.136,210.746,54.151,8.990,5.700
239.517,211.791,53.429,11.876,5.800
244.814,213.114,52.457,14.542,5.900
250.000,214.692,51.226,16.972,6.000
250.000,214.692,51.226,16.972,6.000
255.050,216.500,49.733,19.159,6.100
259.938,218.516,47.996,21.111,6.200
264.642,220.715,46.038,22.839,6.300
269.140,223.076,43.884,24.358,6.400
273.413,225.580,41.555,25.680,6.500
277.446,228.206,39.077,26.819,6.600
281.224,230.938,36.471,27.785,6.700
284.736,233.758,33.763,28.594,6.800
287.974,236.652,30.974,29.257,6.900
290.929,239.605,28.129,29.787,7.000
293.599,242.605,25.251,30.198,7.100
295.979,245.641,22.364,30.501,7.200
298.072,248.703,19.491,30.711,7.300
299.879,251.781,16.655,30.839,7.400
301.405,254.868,13.880,30.898,7.500
302.657,257.958,11.189,30.902,7.600
303.646,261.047,8.606,30.863,7.700
304.383,264.130,6.154,30.795,7.800
304.882,267.205,3.858,30.709,7.900
305.160,270.272,1.739,30.619,8.000
305.160,270.272,1.739,30.619,8.000
305.237,273.329,-0.182,30.535,8.100
305.131,276.379,-1.901,30.461,8.200
304.863,279.422,-3.419,30.394,8.300
304.454,282.458,-4.735,30.337,8.400
303.923,285.489,-5.849,30.287,8.500
303.290,288.516,-6.762,30.247,8.600
302.577,291.539,-7.473,30.215,8.700
301.803,294.559,-7.982,30.192,8.800
300.987,297.578,-8.289,30.177,8.900
300.152,300.595,-8.394,30.171,9.000
299.315,303.612,-8.298,30.173,9.100
298.499,306.630,-8.000,30.184,9.200
297.722,309.649,-7.500,30.204,9.300
297.005,312.671,-6.798,30.232,9.400
296.369,315.696,-5.895,30.269,9.500
295.833,318.725,-4.789,30.314,9.600
295.418,321.759,-3.482,30.368,9.700
295.143,324.799,-1.973,30.430,9.800
295.030,327.845,-0.262,30.501,9.900
295.098,330.899,1.651,30.580,10.000
295.098,330.899,1.651,30.580,10.000
295.367,333.962,3.762,30.666,10.100
295.856,337.032,6.052,30.748,10.200
296.583,340.110,8.497,30.812,10.300
297.560,343.194,11.073,30.847,10.400
298.801,346.278,13.758,30.839,10.500
300.314,349.360,16.528,30.775,10.600
302.108,352.431,19.359,30.644,10.700
304.187,355.486,22.228,30.431,10.800
306.554,358.514,25.112,30.124,10.900
309.209,361.507,27.987,29.711,11.000
312.151,364.452,30.830,29.178,11.100
315.374,367.338,33.617,28.513,11.200
318.872,370.150,36.326,27.702,11.300
322.635,372.873,38.932,26.734,11.400
326.654,375.491,41.412,25.595,11.500
330.913,377.986,43.743,24.273,11.600
335.397,380.339,45.902,22.754,11.700
340.087,382.530,47.864,21.026,11.800
344.962,384.537,49.607,19.077,11.900
350.000,386.338,51.108,16.892,12.000
350.000,386.338,51.108,16.892,12.000
355.175,387.907,52.347,14.465,12.100
360.461,389.223,53.329,11.803,12.200
365.832,390.261,54.063,8.921,12.300
371.265,391.000,54.556,5.833,12.400
376.736,391.421,54.819,2.551,12.500
382.222,391.504,54.861,-0.909,12.600
387.701,391.233,54.689,-4.536,12.700
393.153,390.592,54.312,-8.315,12.800
398.557,389.566,53.741,-12.233,12.900
403.895,388.141,52.983,-16.275,13.000
409.148,386.307,52.047,-20.429,13.100
414.299,384.052,50.943,-24.681,13.200
419.331,381.368,49.678,-29.017,13.300
424.229,378.246,48.263,-33.424,13.400
428.979,374.681,46.705,-37.887,13.500
433.566,370.667,45.015,-42.394,13.600
437.978,366.201,43.199,-46.930,13.700
442.202,361.281,41.268,-51.483,13.800
446.228,355.905,39.230,-56.038,13.900
450.045,350.074,37.095,-60.582,14.000
450.045,350.074,37.095,-60.582,14.000
453.644,343.789,34.872,-65.099,14.100
457.017,337.056,32.586,-69.566,14.200
460.159,329.879,30.259,-73.958,14.300
463.068,322.267,27.916,-78.249,14.400
465.743,314.233,25.582,-82.414,14.500
468.186,305.790,23.282,-86.428,14.600
470.401,296.953,21.039,-90.266,14.700
472.396,287.743,18.878,-93.902,14.800
474.180,278.181,16.824,-97.310,14.900
475.765,268.289,14.901,-100.466,15.000
477.166,258.096,13.133,-103.345,15.100
478.398,247.631,11.545,-105.920,15.200
479.482,236.923,10.162,-108.168,15.300
480.438,226.009,9.007,-110.061,15.400
481.292,214.924,8.106,-111.576,15.500
482.069,203.707,7.483,-112.687,15.600
482.798,192.401,7.161,-113.368,15.700
483.512,181.049,7.167,-113.594,15.800
484.243,169.698,7.523,-113.340,15.900
485.029,158.397,8.255,-112.581,16.000
485.029,158.397,8.255,-112.581,16.000
485.908,147.199,9.383,-111.295,16.100
486.919,136.156,10.914,-109.476,16.200
