x,y
26.000,26.000
27.000,27.000
28.000,28.000
29.000,29.000
30.000,30.000
31.000,31.000
32.000,32.000
33.000,33.000
34.000,34.000
35.000,35.000
36.000,36.000
37.000,37.000
38.000,38.000
39.000,39.000
40.000,40.000
41.000,41.000
42.000,42.000
43.000,43.000
44.000,44.000
45.000,45.000
46.000,46.000
47.000,47.000
48.000,48.000
49.000,49.000
50.000,50.000
51.000,51.000
52.000,52.000
53.000,53.000
54.000,54.000
55.000,55.000
56.000,56.000
57.000,57.000
58.000,58.000
59.000,59.000
60.000,60.000
61.000,61.000
62.000,62.000
63.000,63.000
64.000,64.000
65.000,65.000
66.000,66.000
67.000,67.000
68.000,68.000
69.000,69.000
70.000,70.000
71.000,71.000
72.000,72.000
73.000,73.000
74.000,74.000
75.000,75.000
76.000,76.000
77.000,77.000
78.000,78.000
79.000,79.000
80.000,80.000
81.000,81.000
82.000,82.000
83.000,83.000
84.000,84.000
85.000,85.000
86.000,86.000
87.000,87.000
88.000,88.000
89.000,89.000
90.000,90.000
91.000,91.000
92.000,92.000
93.000,93.000
94.000,94.000
95.000,95.000
96.000,96.000
97.000,97.000
98.000,98.000
99.000,99.000
100.000,100.000
101.000,101.000
102.000,102.000
103.000,103.000
104.000,104.000
105.000,105.000
106.000,106.000
107.000,107.000
108.000,108.000
109.000,109.000
110.000,110.000
111.000,111.000
112.000,112.000
113.000,113.000
114.000,114.000
115.000,115.000
116.000,116.000
117.000,117.000
118.000,118.000
119.000,119.000
120.000,120.000
121.000,121.000
122.000,122.000
123.000,123.000
124.000,124.000
125.000,125.000
126.000,126.000
127.000,127.000
128.000,128.000
129.000,129.000
130.000,130.000
131.000,131.000
132.000,132.000
133.000,133.000
134.000,134.000
135.000,135.000
136.000,136.000
137.000,137.000
138.000,138.000
139.000,139.000
140.000,140.000
141.000,141.000
142.000,142.000
143.000,143.000
144.000,144.000
145.000,145.000
146.000,146.000
147.000,147.000
148.000,148.000
149.000,149.000
150.000,149.000
151.000,149.000
152.000,149.000
153.000,149.000
154.000,149.000
155.000,149.000
156.000,149.000
157.000,149.000
158.000,149.000
159.000,149.000
160.000,149.000
161.000,149.000
162.000,149.000
163.000,149.000
164.000,149.000
165.000,149.000
166.000,149.000
167.000,149.000
168.000,149.000
169.000,149.000
170.000,149.000
171.000,149.000
172.000,149.000
173.000,149.000
174.000,149.000
175.000,149.000
176.000,149.000
177.000,149.000
178.000,149.000
179.000,149.000
180.000,149.000
181.000,149.000
182.000,149.000
183.000,149.000
184.000,149.000
185.000,149.000
186.000,149.000
187.000,149.000
188.000,149.000
189.000,149.000
190.000,149.000
191.000,149.000
192.000,149.000
193.000,149.000
194.000,149.000
195.000,149.000
196.000,149.000
197.000,149.000
198.000,149.000
199.000,149.000
200.000,149.000
201.000,149.000
202.000,149.000
203.000,149.000
204.000,149.000
205.000,149.000
206.000,149.000
207.000,149.000
208.000,149.000
209.000,149.000
210.000,149.000
211.000,149.000
212.000,149.000
213.000,149.000
214.000,149.000
215.000,149.000
216.000,149.000
217.000,149.000
218.000,149.000
219.000,149.000
220.000,149.000
221.000,149.000
222.000,149.000
223.000,149.000
224.000,149.000
225.000,149.000
226.000,149.000
227.000,149.000
228.000,149.000
229.000,149.000
230.000,149.000
231.000,149.000
232.000,149.000
233.000,149.000
234.000,149.000
235.000,149.000
236.000,149.000
237.000,149.000
238.000,149.000
239.000,149.000
240.000,149.000
241.000,149.000
242.000,149.000
243.000,149.000
244.000,149.000
245.000,149.000
246.000,149.000
247.000,149.000
248.000,149.000
249.000,149.000
250.000,149.000
251.000,149.000
252.000,149.000
253.000,149.000
254.000,149.000
255.000,149.000
256.000,149.000
257.000,149.000
258.000,149.000
259.000,149.000
260.000,149.000
261.000,149.000
262.000,149.000
263.000,149.000
264.000,149.000
265.000,149.000
266.000,149.000
267.000,149.000
268.000,149.000
269.000,149.000
270.000,149.000
271.000,149.000
272.000,149.000
273.000,149.000
274.000,149.000
275.000,149.000
276.000,149.000
277.000,149.000
278.000,149.000
279.000,149.000
280.000,149.000
281.000,149.000
282.000,149.000
283.000,149.000
284.000,149.000
285.000,149.000
286.000,149.000
287.000,149.000
288.000,149.000
289.000,149.000
290.000,149.000
291.000,149.000
292.000,149.000
293.000,149.000
294.000,149.000
295.000,149.000
296.000,149.000
297.000,149.000
298.000,149.000
299.000,149.000
300.000,149.000
301.000,149.000
302.000,149.000
303.000,149.000
304.000,149.000
305.000,149.000
306.000,149.000
307.000,149.000
308.000,149.000
309.000,149.000
310.000,149.000
311.000,149.000
312.000,149.000
313.000,149.000
314.000,149.000
315.000,149.000
316.000,149.000
317.000,149.000
318.000,149.000
319.000,149.000
320.000,149.000
321.000,149.000
322.000,149.000
323.000,149.000
324.000,149.000
325.000,149.000
326.000,149.000
327.000,149.000
328.000,149.000
329.000,149.000
330.000,149.000
331.000,149.000
332.000,149.000
333.000,149.000
334.000,149.000
335.000,149.000
336.000,149.000
337.000,149.000
338.000,149.000
339.000,149.000
340.000,149.000
341.000,149.000
342.000,149.000
343.000,149.000
344.000,149.000
345.000,149.000
346.000,149.000
347.000,149.000
348.000,149.000
349.000,149.000
350.000,149.000
351.000,150.000
351.000,151.000
351.000,152.000
351.000,153.000
351.000,154.000
351.000,155.000
351.000,156.000
351.000,157.000
351.000,158.000
351.000,159.000
351.000,160.000
351.000,161.000
351.000,162.000
351.000,163.000
351.000,164.000
351.000,165.000
351.000,166.000
351.000,167.000
351.000,168.000
351.000,169.000
351.000,170.000
351.000,171.000
351.000,172.000
351.000,173.000
351.000,174.000
351.000,175.000
351.000,176.000
351.000,177.000
351.000,178.000
351.000,179.000
351.000,180.000
351.000,181.000
351.000,182.000
351.000,183.000
351.000,184.000
351.000,185.000
351.000,186.000
351.000,187.000
351.000,188.000
351.000,189.000
351.000,190.000
351.000,191.000
351.000,192.000
351.000,193.000
351.000,194.000
351.000,195.000
351.000,196.000
351.000,197.000
351.000,198.000
351.000,199.000
351.000,200.000
351.000,201.000
351.000,202.000
351.000,203.000
351.000,204.000
351.000,205.000
351.000,206.000
351.000,207.000
351.000,208.000
351.000,209.000
351.000,210.000
351.000,211.000
351.000,212.000
351.000,213.000
351.000,214.000
351.000,215.000
351.000,216.000
351.000,217.000
351.000,218.000
351.000,219.000
351.000,220.000
351.000,221.000
351.000,222.000
351.000,223.000
351.000,224.000
351.000,225.000
351.000,226.000
351.000,227.000
351.000,228.000
351.000,229.000
351.000,230.000
351.000,231.000
351.000,232.000
351.000,233.000
351.000,234.000
351.000,235.000
351.000,236.000
351.000,237.000
351.000,238.000
351.000,239.000
351.000,240.000
351.000,241.000
351.000,242.000
351.000,243.000
351.000,244.000
351.000,245.000
351.000,246.000
351.000,247.000
351.000,248.000
351.000,249.000
351.000,250.000
351.000,251.000
351.000,252.000
350.000,253.000
349.000,254.000
348.000,255.000
347.000,256.000
346.000,257.000
345.000,258.000
344.000,259.000
343.000,260.000
342.000,261.000
341.000,262.000
340.000,263.000
339.000,264.000
338.000,265.000
337.000,266.000
336.000,267.000
335.000,268.000
334.000,269.000
333.000,270.000
332.000,271.000
331.000,272.000
330.000,273.000
329.000,274.000
328.000,275.000
327.000,276.000
326.000,277.000
325.000,278.000
324.000,279.000
323.000,280.000
322.000,281.000
321.000,282.000
320.000,283.000
319.000,284.000
318.000,285.000
317.000,286.000
316.000,287.000
315.000,288.000
314.000,289.000
313.000,290.000
312.000,291.000
311.000,292.000
310.000,293.000
309.000,294.000
308.000,295.000
307.000,296.000
306.000,297.000
305.000,298.000
304.000,299.000
303.000,300.000
302.000,301.000
301.000,301.000
300.000,301.000
299.000,301.000
298.000,302.000
297.000,303.000
296.000,304.000
295.000,305.000
294.000,306.000
293.000,307.000
292.000,308.000
291.000,309.000
290.000,310.000
289.000,311.000
288.000,312.000
287.000,313.000
286.000,314.000
285.000,315.000
284.000,316.000
283.000,317.000
282.000,318.000
281.000,319.000
280.000,320.000
279.000,321.000
278.000,322.000
277.000,323.000
276.000,324.000
275.000,325.000
274.000,326.000
273.000,327.000
272.000,328.000
271.000,329.000
270.000,330.000
269.000,331.000
268.000,332.000
267.000,333.000
266.000,334.000
265.000,335.000
264.000,336.000
263.000,337.000
262.000,338.000
261.000,339.000
260.000,340.000
259.000,341.000
258.000,342.000
257.000,343.000
256.000,344.000
255.000,345.000
254.000,346.000
253.000,347.000
252.000,348.000
251.000,349.000
250.000,350.000
250.000,351.000
250.000,352.000
250.000,353.000
250.000,354.000
250.000,355.000
250.000,356.000
250.000,357.000
250.000,358.000
250.000,359.000
250.000,360.000
250.000,361.000
250.000,362.000
250.000,363.000
250.000,364.000
250.000,365.000
250.000,366.000
250.000,367.000
250.000,368.000
250.000,369.000
250.000,370.000
250.000,371.000
250.000,372.000
250.000,373.000
250.000,374.000
250.000,375.000
250.000,376.000
250.000,377.000
250.000,378.000
250.000,379.000
250.000,380.000
250.000,381.000
250.000,382.000
250.000,383.000
250.000,384.000
250.000,385.000
250.000,386.000
250.000,387.000
250.000,388.000
250.000,389.000
250.000,390.000
250.000,391.000
250.000,392.000
250.000,393.000
250.000,394.000
250.000,395.000
250.000,396.000
250.000,397.000
250.000,398.000
250.000,399.000
250.000,400.000
250.000,401.000
250.000,402.000
250.000,403.000
250.000,404.000
250.000,405.000
250.000,406.000
250.000,407.000
250.000,408.000
250.000,409.000
250.000,410.000
250.000,411.000
250.000,412.000
250.000,413.000
250.000,414.000
250.000,415.000
250.000,416.000
250.000,417.000
250.000,418.000
250.000,419.000
250.000,420.000
250.000,421.000
250.000,422.000
250.000,423.000
250.000,424.000
250.000,425.000
250.000,426.000
250.000,427.000
250.000,428.000
250.000,429.000
250.000,430.000
250.000,431.000
250.000,432.000
250.000,433.000
250.000,434.000
