time,x,y,vx,vy
0.000,25.000,576.000,-13.792,-79.226
0.100,23.671,568.134,-12.786,-78.102
0.200,22.442,560.379,-11.789,-76.987
0.300,21.313,552.736,-10.799,-75.881
0.400,20.282,545.203,-9.819,-74.783
0.500,19.349,537.779,-8.846,-73.694
0.600,18.513,530.464,-7.882,-72.614
0.700,17.772,523.256,-6.927,-71.542
0.800,17.127,516.155,-5.980,-70.479
0.900,16.576,509.160,-5.041,-69.425
1.000,16.119,502.270,-4.111,-68.380
1.100,15.754,495.483,-3.189,-67.344
1.200,15.481,488.800,-2.276,-66.316
1.300,15.298,482.220,-1.371,-65.298
1.400,15.206,475.741,-0.474,-64.288
1.500,15.203,469.362,0.414,-63.287
1.600,15.289,463.083,1.293,-62.295
1.700,15.462,456.903,2.164,-61.312
1.800,15.721,450.820,3.027,-60.338
1.900,16.067,444.835,3.881,-59.373
2.000,16.497,438.945,4.726,-58.418
2.100,17.012,433.151,5.564,-57.471
2.200,17.610,427.451,6.392,-56.533
2.300,18.290,421.844,7.212,-55.605
2.400,19.052,416.329,8.024,-54.686
2.500,19.894,410.906,8.827,-53.776
2.600,20.817,405.574,9.622,-52.875
2.700,21.818,400.331,10.408,-51.983
2.800,22.898,395.177,11.185,-51.101
2.900,24.055,390.111,11.954,-50.227
3.000,25.289,385.131,12.715,-49.364
3.100,26.598,380.238,13.467,-48.509
3.200,27.982,375.429,14.210,-47.664
3.300,29.440,370.705,14.945,-46.828
3.400,30.970,366.063,15.672,-46.002
3.500,32.574,361.504,16.389,-45.185
3.600,34.248,357.026,17.099,-44.378
3.700,35.993,352.628,17.800,-43.580
3.800,37.808,348.310,18.492,-42.791
3.900,39.691,344.069,19.175,-42.012
4.000,41.643,339.907,19.850,-41.243
4.100,43.661,335.821,20.517,-40.483
4.200,45.746,331.810,21.175,-39.733
4.300,47.896,327.874,21.824,-38.992
4.400,50.110,324.011,22.465,-38.261
4.500,52.388,320.221,23.097,-37.540
4.600,54.729,316.503,23.721,-36.829
4.700,57.132,312.855,24.336,-36.127
4.800,59.596,309.277,24.942,-35.435
4.900,62.120,305.768,25.540,-34.753
5.000,64.704,302.326,26.129,-34.080
5.000,64.704,302.326,26.129,-34.080
5.100,67.346,298.951,26.710,-33.418
5.200,70.046,295.642,27.282,-32.765
5.300,72.802,292.398,27.845,-32.122
5.400,75.615,289.218,28.400,-31.488
5.500,78.482,286.100,28.946,-30.864
5.600,81.403,283.044,29.483,-30.250
5.700,84.378,280.050,30.012,-29.645
5.800,87.405,277.115,30.532,-29.050
5.900,90.484,274.239,31.043,-28.464
6.000,93.614,271.422,31.545,-27.887
6.100,96.793,268.662,32.038,-27.320
6.200,100.021,265.957,32.523,-26.762
6.300,103.297,263.309,32.998,-26.213
6.400,106.620,260.715,33.465,-25.673
6.500,109.990,258.174,33.923,-25.142
6.600,113.405,255.686,34.372,-24.621
6.700,116.864,253.249,34.812,-24.108
6.800,120.367,250.864,35.244,-23.604
6.900,123.913,248.528,35.666,-23.109
7.000,127.500,246.242,36.079,-22.622
7.100,131.128,244.004,36.483,-22.145
7.200,134.796,241.813,36.878,-21.676
7.300,138.503,239.668,37.264,-21.215
7.400,142.249,237.569,37.641,-20.763
7.500,146.031,235.515,38.009,-20.320
7.600,149.850,233.505,38.368,-19.885
7.700,153.705,231.538,38.718,-19.459
7.800,157.593,229.613,39.058,-19.040
7.900,161.516,227.730,39.389,-18.631
8.000,165.471,225.887,39.711,-18.229
8.100,169.458,224.084,40.024,-17.835
8.200,173.476,222.319,40.328,-17.450
8.300,177.523,220.593,40.622,-17.073
8.400,181.600,218.905,40.907,-16.703
8.500,185.704,217.252,41.183,-16.342
8.600,189.836,215.636,41.449,-15.988
8.700,193.994,214.054,41.707,-15.643
8.800,198.177,212.507,41.954,-15.305
8.900,202.384,210.993,42.193,-14.975
9.000,206.615,209.512,42.422,-14.652
9.100,210.868,208.063,42.641,-14.337
9.200,215.143,206.644,42.851,-14.030
9.300,219.438,205.256,43.052,-13.730
9.400,223.753,203.898,43.243,-13.438
9.500,228.087,202.569,43.425,-13.153
9.600,232.438,201.267,43.597,-12.875
9.700,236.806,199.993,43.759,-12.605
9.800,241.189,198.746,43.912,-12.341
9.900,245.588,197.525,44.055,-12.085
10.000,250.000,196.329,44.189,-11.837
10.000,250.000,196.329,44.189,-11.837
10.100,254.425,195.157,44.313,-11.595
10.200,258.862,194.010,44.428,-11.360
10.300,263.310,192.885,44.532,-11.133
10.400,267.768,191.783,44.627,-10.912
10.500,272.235,190.702,44.711,-10.700
10.600,276.710,189.643,44.785,-10.494
10.700,281.192,188.603,44.849,-10.296
10.800,285.680,187.583,44.903,-10.106
10.900,290.172,186.582,44.946,-9.924
11.000,294.669,185.598,44.978,-9.749
11.100,299.168,184.632,44.999,-9.582
11.200,303.668,183.681,45.010,-9.423
11.300,308.169,182.747,45.009,-9.273
11.400,312.670,181.827,44.997,-9.130
11.500,317.168,180.920,44.974,-8.995
11.600,321.664,180.027,44.940,-8.869
11.700,326.156,179.146,44.894,-8.751
11.800,330.643,178.277,44.837,-8.642
11.900,335.123,177.418,44.768,-8.541
12.000,339.596,176.568,44.687,-8.449
12.100,344.060,175.728,44.594,-8.365
12.200,348.514,174.895,44.488,-8.290
12.300,352.957,174.069,44.371,-8.224
12.400,357.388,173.250,44.242,-8.167
12.500,361.805,172.436,44.100,-8.119
12.600,366.207,171.626,43.945,-8.080
12.700,370.593,170.819,43.778,-8.050
12.800,374.962,170.015,43.598,-8.029
12.900,379.313,169.213,43.405,-8.018
13.000,383.643,168.411,43.199,-8.016
13.100,387.952,167.610,42.980,-8.024
13.200,392.238,166.806,42.747,-8.041
13.300,396.501,166.001,42.502,-8.068
13.400,400.738,165.192,42.243,-8.105
13.500,404.949,164.380,41.970,-8.151
13.600,409.132,163.562,41.683,-8.208
13.700,413.285,162.738,41.383,-8.274
13.800,417.408,161.907,41.069,-8.351
13.900,421.498,161.067,40.740,-8.437
14.000,425.555,160.219,40.398,-8.534
14.100,429.578,159.360,40.041,-8.641
14.200,433.563,158.490,39.670,-8.759
14.300,437.511,157.608,39.284,-8.887
14.400,441.420,156.713,38.884,-9.025
14.500,445.287,155.803,38.469,-9.174
14.600,449.113,154.877,38.039,-9.334
14.700,452.895,153.936,37.593,-9.505
14.800,456.631,152.976,37.133,-9.686
14.900,460.321,151.998,36.658,-9.879
15.000,463.962,151.000,36.167,-10.083
15.000,463.962,151.000,36.167,-10.083
15.100,467.554,149.981,35.661,-10.297
15.200,471.094,148.940,35.139,-10.523
15.300,474.581,147.876,34.602,-10.760
15.400,478.014,146.788,34.050,-11.008
15.500,481.390,145.674,33.481,-11.268
15.600,484.709,144.534,32.898,-11.538
15.700,487.969,143.366,32.298,-11.820
15.800,491.169,142.170,31.684,-12.113
15.900,494.306,140.943,31.053,-12.417
16.000,497.379,139.686,30.408,-12.732
16.100,500.387,138.396,29.746,-13.058
16.200,503.327,137.074,29.069,-13.396
16.300,506.200,135.717,28.377,-13.745
16.400,509.002,134.324,27.668,-14.105
